edge_id,roi_1,roi_2,beta,se,ci_lower,ci_upper,z,p_uncorrected,p_fdr,n
dPAG_vlPAG,dPAG,vlPAG,2.8371,1.9096,-0.9058,6.5799,1.4857,0.13736789347965564,0.810895328726937,53
dPAG_piri,dPAG,piri,-1.9061,1.5305,-4.9059,1.0937,-1.2454,0.21298888653076953,0.810895328726937,53
dPAG_Hyp,dPAG,Hyp,0.4218,1.5161,-2.5497,3.3933,0.2782,0.7808584063030652,0.9600065075767247,53
dPAG_BLA,dPAG,BLA,0.5042,1.7027,-2.8332,3.8416,0.2961,0.7671579053811515,0.9600065075767247,53
dPAG_sgACC,dPAG,sgACC,0.8436,1.8853,-2.8517,4.5388,0.4474,0.654560113001299,0.9104336117199886,53
dPAG_pACC,dPAG,pACC,-1.668,2.4442,-6.4587,3.1227,-0.6824,0.4949694505776321,0.8507664826475753,53
dPAG_dACC,dPAG,dACC,0.3688,1.6091,-2.7851,3.5226,0.2292,0.818739492310411,0.9600065075767247,53
dPAG_dpIns,dPAG,dpIns,3.4884,2.5048,-1.4211,8.3979,1.3927,0.16371757086140248,0.810895328726937,53
dPAG_dmIns,dPAG,dmIns,-0.1456,1.9205,-3.9097,3.6185,-0.0758,0.9395673520179152,0.9617354691526907,53
dPAG_mvaIns,dPAG,mvaIns,-0.7439,1.6475,-3.9731,2.4852,-0.4515,0.6515943941471246,0.9104336117199886,53
dPAG_lvaIns,dPAG,lvaIns,-3.2088,1.6138,-6.3719,-0.0457,-1.9883,0.04677800588460803,0.6506395363950026,53
dPAG_dmPFC,dPAG,dmPFC,0.6275,1.4928,-2.2984,3.5534,0.4203,0.6742376983969749,0.9129059102189129,53
dPAG_vmPFC,dPAG,vmPFC,0.9559,2.0285,-3.0199,4.9317,0.4713,0.6374546606505844,0.9104336117199886,53
dPAG_S1,dPAG,S1,0.8182,1.5671,-2.2533,3.8898,0.5221,0.6015840877211247,0.9104336117199886,53
dPAG_M1,dPAG,M1,1.7033,1.8687,-1.9592,5.3659,0.9115,0.36201688657394215,0.810895328726937,53
dPAG_PoI1,dPAG,PoI1,-3.7158,1.5376,-6.7295,-0.7022,-2.4167,0.01566119725213005,0.6506395363950026,53
dPAG_PoI2,dPAG,PoI2,-3.1046,1.8012,-6.635,0.4258,-1.7236,0.0847779762669322,0.810895328726937,53
vlPAG_piri,vlPAG,piri,-1.2815,2.1145,-5.426,2.8629,-0.6061,0.5444688107749961,0.8957390112749937,53
vlPAG_Hyp,vlPAG,Hyp,1.716,1.6114,-1.4423,4.8744,1.0649,0.28690631907776964,0.810895328726937,53
vlPAG_BLA,vlPAG,BLA,1.8889,1.7706,-1.5815,5.3592,1.0668,0.28605612300257977,0.810895328726937,53
vlPAG_sgACC,vlPAG,sgACC,2.1987,1.9144,-1.5536,5.951,1.1485,0.2507638339474655,0.810895328726937,53
vlPAG_pACC,vlPAG,pACC,0.9986,2.0293,-2.9789,4.976,0.4921,0.6226691986473696,0.9104336117199886,53
vlPAG_dACC,vlPAG,dACC,-0.3158,1.6849,-3.6183,2.9867,-0.1874,0.8513321731954421,0.9600065075767247,53
vlPAG_dpIns,vlPAG,dpIns,4.0789,2.5303,-0.8804,9.0382,1.6121,0.10694933319408556,0.810895328726937,53
vlPAG_dmIns,vlPAG,dmIns,2.4261,2.3264,-2.1336,6.9858,1.0429,0.297008241943733,0.810895328726937,53
vlPAG_mvaIns,vlPAG,mvaIns,-1.6222,1.8621,-5.2718,2.0275,-0.8712,0.38366887954959095,0.810895328726937,53
vlPAG_lvaIns,vlPAG,lvaIns,-1.5589,2.2349,-5.9393,2.8216,-0.6975,0.4854884437030079,0.8507664826475753,53
vlPAG_dmPFC,vlPAG,dmPFC,0.2195,1.4029,-2.5301,2.9692,0.1565,0.8756471452709785,0.9600065075767247,53
vlPAG_vmPFC,vlPAG,vmPFC,0.1492,2.0817,-3.9309,4.2292,0.0717,0.9428779109340104,0.9617354691526907,53
vlPAG_S1,vlPAG,S1,1.9937,1.7506,-1.4375,5.425,1.1388,0.2547662291477907,0.810895328726937,53
vlPAG_M1,vlPAG,M1,1.3789,1.8607,-2.2681,5.0259,0.741,0.458671553946812,0.8507664826475753,53
vlPAG_PoI1,vlPAG,PoI1,-1.6303,1.8991,-5.3526,2.092,-0.8584,0.3906606390797722,0.810895328726937,53
vlPAG_PoI2,vlPAG,PoI2,-0.3969,1.9143,-4.149,3.3552,-0.2073,0.835752977267326,0.9600065075767247,53
piri_Hyp,piri,Hyp,-0.1922,1.3458,-2.8299,2.4456,-0.1428,0.8864619778129061,0.9600065075767247,53
piri_BLA,piri,BLA,2.9867,1.4915,0.0635,5.91,2.0025,0.045226057562899824,0.6506395363950026,53
piri_sgACC,piri,sgACC,1.4798,1.5239,-1.507,4.4666,0.9711,0.33150994235985376,0.810895328726937,53
piri_pACC,piri,pACC,0.0232,1.3806,-2.6828,2.7292,0.0168,0.9865831876079575,0.9930738664737992,53
piri_dACC,piri,dACC,0.7233,1.5801,-2.3736,3.8202,0.4577,0.6471387865263023,0.9104336117199886,53
piri_dpIns,piri,dpIns,0.5857,1.7713,-2.8861,4.0574,0.3306,0.7409224623107145,0.9600065075767247,53
piri_dmIns,piri,dmIns,-1.0913,1.9501,-4.9134,2.7308,-0.5596,0.5757483039266578,0.9104336117199886,53
piri_mvaIns,piri,mvaIns,1.5112,1.714,-1.8482,4.8707,0.8817,0.3779403042658186,0.810895328726937,53
piri_lvaIns,piri,lvaIns,-0.1198,1.5275,-3.1136,2.8741,-0.0784,0.9375117609595652,0.9617354691526907,53
piri_dmPFC,piri,dmPFC,1.3744,1.4924,-1.5507,4.2994,0.9209,0.3570896637243012,0.810895328726937,53
piri_vmPFC,piri,vmPFC,0.5511,1.5242,-2.4364,3.5386,0.3615,0.7176913628275119,0.9494166588850508,53
piri_S1,piri,S1,0.6215,1.4502,-2.2208,3.4638,0.4286,0.6682491436950333,0.9129059102189129,53
piri_M1,piri,M1,1.1784,1.4707,-1.7041,4.061,0.8013,0.4229623190111066,0.8296568565217861,53
piri_PoI1,piri,PoI1,-0.8141,1.5574,-3.8666,2.2384,-0.5227,0.6011653730187041,0.9104336117199886,53
piri_PoI2,piri,PoI2,-1.6109,1.7001,-4.943,1.7213,-0.9475,0.3433687581005682,0.810895328726937,53
Hyp_BLA,Hyp,BLA,0.1603,1.5116,-2.8025,3.1232,0.1061,0.9155250994701194,0.9617354691526907,53
